agg_id,treat,prop_score,fu_survey_year,hhinc_yrly_end,profits_yrly_end,rev_yrly_end,exp_yrly_end,hhexp_yrly_end,loan_size,prinpaid,interest_rate,repaytime,intpaid,penalty,paid_total,net_revenue,css_creditscorefinal,css_yearsataddress,own_house,sari,own_anybus,max_yearsinbusiness,css_regularworkers,css_traveltime,css_travelcost,css_stockvalue,css_assetvalue,css_noofbusiness,lower_window,app_year,hhsize,age,gender,education,married,savingsamt,hhinc_yrly_base,profits_yrly_base,rev_yrly_base,exp_yrly_base,hhexp_yrly_base,hhasset_yrly_base,revenue_fees,revenue_interest,log_hhinc,default_value,high_school,college,bank_profits_level,bank_profits_pp
320645,1,0.8434873949579832,2008,18000,18000,78750,55440,6750,562.5,9000,30,1,735,0,9735,45.9375,57,20,1,0,1,5,0,25,28,15000,30000,1,0,2007,3,49,1,1,1,0,15208.333333333334,91250,146000,54750,3450,3312.5,3.86558219178081,42.07191780821919,9.798182590890704,-0,1,1,-15.0813885703364,-2.028493670016271
320653,1,0.8434873949579832,2007,4125,4125,112500,108375,6750,1562.5,25000,30,1,1895.79,0,26895.79,118.486875,57,49,1,0,1,20,7,20,30,40000,250000,1,0,2006,4,49,1,1,1,0,38020.833333333336,228125,376406.25,148281.25,9750,2937.5,1.6204366438356175,116.86643835616438,8.325063693631197,-0,1,1,4.467986429663597,20.93999966331706
320665,1,0.546583850931677,2007,11250,11250,56250,48262.5,6750,0,NA,NA,1,NA,NA,NA,0,39,5,1,0,0,2,0,20,30,12000,5000,1,1,2006,3,41,0,2,1,0,38020.833333333336,228125,417468.75,189343.75,6000,1218.75,0,0,9.328212292571072,-0,1,0,0,0
320683,0,0.546583850931677,2008,13860,13860,34500,13860,3375,0,NA,NA,1,NA,NA,NA,0,44,10,0,1,0,4,1,40,60,30000,40000,2,1,2006,4,32,1,2,1,0,5703.125,34218.75,62734.375,28515.625,3037.5,2350,0,0,9.536834420213353,-0,1,0,0,0
320684,1,0.8434873949579832,2007,24000,24000,78750,55575,9000,562.5,9000,30,1,682.5,0,9682.5,42.65625,52,15,1,0,1,3,1,20,30,80000,10000,1,0,2006,2,34,1,1,0,0,4942.708333333333,29656.25,29656.25,0,11812.5,2750,0.5843321917808098,42.07191780821919,10.085850775128717,-0,1,1,-18.3626385703364,-2.6118270033496067
320687,1,0.8434873949579832,2007,18525,18525,60000,18975,11250,625,10000,30,1,758.29,1.36,10759.65,47.47812500000006,46,8,1,0,0,6,3,20,30,30000,150000,1,0,2006,4,49,1,1,0,0,11406.25,68437.5,107218.75,38781.25,2625,2031.25,0.731549657534309,46.74657534246575,9.826930429813974,-0,1,1,-16.85326357033634,1.0813396633170669
146956,1,0.8434873949579832,2007,65625,65625,75000,9375,13500,0,NA,NA,1,NA,NA,NA,0,46,8,0,0,0,5,1,15,20,7000,10000,1,0,2006,3,55,0,1,0,0,22812.5,136875,231546.875,94671.875,3750,10687.5,0,0,11.091727237873064,-0,1,1,0,0
320694,1,0.8434873949579832,2007,6375,6375,6375,0,5625,0,NA,NA,1,NA,NA,NA,0,51,11,1,1,1,6,2,30,40,100000,50000,1,0,2006,1,49,1,2,0,10000,22812.5,136875,246375,109500,4987.5,4687.5,0,0,8.760296220470051,-0,1,0,0,0
320697,1,0.8434873949579832,2007,5550,5550,97500,91950,5775,0,NA,NA,1,NA,NA,NA,0,49,5,1,0,0,5,2,10,0,4500,15000,1,0,2006,4,27,1,1,1,1500,17109.375,102656.25,184781.25,82125,6525,2487.5,0,0,8.621733370690162,-0,1,1,0,0
320701,1,0.8434873949579832,2007,9600,9600,37500,21892.5,8137.5,0,NA,NA,1,NA,NA,NA,0,54,27,1,0,1,3,0,5,16,0,30000,1,0,2006,5,54,1,1,1,0,2851.5625,17109.375,17565.625,456.25,12918.75,8312.5,0,0,9.169622538697624,-0,1,1,0,0
320702,1,0.8434873949579832,2008,0,0,112500,21449.25,4875,1562.5,25000,30,1,1895.79,0,26895.79,118.486875,53,6,1,0,1,6,1,30,38,300000,855000,1,0,2006,2,53,1,1,1,5000,114062.5,684375,1163437.5,479062.5,990,1062.5,1.6204366438356175,116.86643835616438,0,-0,1,1,4.467986429663597,20.93999966331706
320708,0,0.8434873949579832,2007,11565,11565,56250,40185,4500,0,NA,NA,1,NA,NA,NA,0,49,6,1,1,0,5,0,10,38,15000,0,1,0,2006,2,40,1,2,1,0,15208.333333333334,91250,164250,73000,1155,1443.125,0,0,9.355825038718164,-0,1,0,0,0
320709,1,0.8434873949579832,2008,15000,15000,63000,68766.75,4500,625,10000,30,1,758.29,0,10758.29,47.39312500000006,52,6,1,1,0,5,0,10,38,100000,0,1,0,2006,2,41,0,1,1,0,23953.125,143718.75,167671.875,23953.125,1732.5,1443.125,0.6465496575343082,46.74657534246575,9.61587214452889,-0,1,1,-16.938263570336346,1.0677396633170702
320715,1,0.8434873949579832,2008,1200,1200,11250,10050,2250,0,NA,NA,1,NA,NA,NA,0,56,15,1,1,1,11,0,60,40,35000,0,2,0,2006,3,43,1,1,1,0,20911.458333333332,125468.75,150562.5,25093.75,4087.5,2062.5,0,0,7.0909098220799835,-0,1,1,0,0
320716,0,0.8434873949579832,2007,2625,2625,22500,17745,4500,0,NA,NA,1,NA,NA,NA,0,48,15,1,0,1,10,0,15,14,30000,0,1,0,2006,1,48,1,2,0,3000,3802.0833333333335,22812.5,22812.5,0,1200,2000,0,0,7.873217054862741,-0,1,0,0,0
